anchor,layer_index,layer_bucket,delta_type,behavior_delta_name,behavior_transform,n_families,pearson_correlation,spearman_correlation,mean_hidden_metric,std_hidden_metric
end_of_evidence_block,28,late,true_belief_pressure_delta,delta_evidence_true_belief_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,29,late,true_belief_pressure_delta,delta_evidence_true_belief_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,30,late,true_belief_pressure_delta,delta_evidence_true_belief_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,31,late,true_belief_pressure_delta,delta_evidence_true_belief_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,32,late,true_belief_pressure_delta,delta_evidence_true_belief_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,33,late,true_belief_pressure_delta,delta_evidence_true_belief_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,34,late,true_belief_pressure_delta,delta_evidence_true_belief_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,35,late,true_belief_pressure_delta,delta_evidence_true_belief_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,0,early,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,1,early,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,2,early,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,3,early,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,4,early,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,5,early,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,6,early,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,7,early,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,8,early,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,9,early,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,10,early,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,11,early,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,12,middle,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,13,middle,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,14,middle,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,15,middle,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,16,middle,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,17,middle,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,18,middle,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,19,middle,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,20,middle,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,21,middle,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,22,middle,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,23,middle,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,24,late,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,25,late,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,26,late,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,27,late,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,28,late,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,29,late,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,30,late,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,31,late,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,32,late,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,33,late,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,34,late,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,35,late,true_rationale_pressure_delta,delta_evidence_true_rationale_pressure,negative,80,0.0,0.0,0.0,0.0
end_of_evidence_block,0,early,distractor_delta,delta_evidence_distractor_neutral,absolute,80,0.0,0.0,0.0,0.0
